id,name,measurement_type,corresponding_sensor,initial_wavelength,gauge_factor,thermo_optic_coefficient,location
M3,NS07_Str_bot03,str,P3,,,,
M4,NS07_Str_bot04,str,P4,,,,
M5,NS07_Str_bot05,str,P5,,,,
M6,NS07_Str_bot06,str,P6,,,,
M7,NS07_Str_bot07,str,P7,,,,
M8,NS07_Str_bot08,str,P8,,,,
M9,NS07_Str_bot09,str,P9,,,,
M10,,,,,,,
M11,,,,,,,
M12,NS07_Str_top09,str,P12,,,,
M13,NS07_Str_top08,str,P13,,,,
M14,NS07_Str_top07,str,P14,,,,
M15,NS07_Str_top06,str,P15,,,,
M16,NS07_Str_top05,str,P16,,,,
M17,NS07_Str_top04,str,P17,,,,
M18,NS07_Str_top03,str,P18,,,,
M19,NS07_Str_top02,str,P19,,,,
M20,NS07_Str_top01,str,P20,,,,
N1,NS01_Tmp_bot01,tmp,,,,,
N2,NS01_Tmp_bot02,tmp,,,,,
N3,NS01_Tmp_bot03,tmp,,,,,
N4,NS01_Tmp_bot04,tmp,,,,,
N5,NS01_Tmp_bot05,tmp,,,,,
N6,NS01_Tmp_bot06,tmp,,,,,
N7,NS01_Tmp_bot07,tmp,,,,,
N8,NS01_Tmp_bot08,tmp,,,,,
N9,NS01_Tmp_bot09,tmp,,,,,
N10,,,,,,,
N11,,,,,,,
N12,NS01_Tmp_top09,tmp,,,,,
N13,NS01_Tmp_top08,tmp,,,,,
N14,NS01_Tmp_top07,tmp,,,,,
N15,NS01_Tmp_top06,tmp,,,,,
N16,NS01_Tmp_top05,tmp,,,,,
N17,NS01_Tmp_top04,tmp,,,,,
N18,NS01_Tmp_top03,tmp,,,,,
N19,NS01_Tmp_top02,tmp,,,,,
N20,NS01_Tmp_top01,tmp,,,,,
O1,NS04_Tmp_bot01,tmp,,,,,
O2,NS04_Tmp_bot02,tmp,,,,,
O3,NS04_Tmp_bot03,tmp,,,,,
O4,NS04_Tmp_bot04,tmp,,,,,
O5,NS04_Tmp_bot05,tmp,,,,,
O6,NS04_Tmp_bot06,tmp,,,,,
O7,NS04_Tmp_bot07,tmp,,,,,
O8,NS04_Tmp_bot08,tmp,,,,,
O9,NS04_Tmp_bot09,tmp,,,,,
O10,,,,,,,
O11,,,,,,,
O12,NS04_Tmp_top09,tmp,,,,,
O13,NS04_Tmp_top08,tmp,,,,,
O14,NS04_Tmp_top07,tmp,,,,,
O15,NS04_Tmp_top06,tmp,,,,,
O16,NS04_Tmp_top05,tmp,,,,,
O17,NS04_Tmp_top04,tmp,,,,,
O18,NS04_Tmp_top03,tmp,,,,,
O19,NS04_Tmp_top02,tmp,,,,,
O20,NS04_Tmp_top01,tmp,,,,,
P1,NS07_Tmp_bot01,tmp,,,,,
P2,NS07_Tmp_bot02,tmp,,,,,
P3,NS07_Tmp_bot03,tmp,,,,,
P4,NS07_Tmp_bot04,tmp,,,,,
P5,NS07_Tmp_bot05,tmp,,,,,
P6,NS07_Tmp_bot06,tmp,,,,,
P7,NS07_Tmp_bot07,tmp,,,,,
P8,NS07_Tmp_bot08,tmp,,,,,
P9,NS07_Tmp_bot09,tmp,,,,,
P10,,,,,,,
P11,,,,,,,
P12,NS07_Tmp_top09,tmp,,,,,
P13,NS07_Tmp_top08,tmp,,,,,
P14,NS07_Tmp_top07,tmp,,,,,
P15,NS07_Tmp_top06,tmp,,,,,
P16,NS07_Tmp_top05,tmp,,,,,
P17,NS07_Tmp_top04,tmp,,,,,
P18,NS07_Tmp_top03,tmp,,,,,
P19,NS07_Tmp_top02,tmp,,,,,
P20,NS07_Tmp_top01,tmp,,,,,
